category,keyword
FNB_TERMS,fnb
FNB_TERMS,food beverage
FNB_TERMS,food and beverage
FNB_TERMS,restaurant
FNB_TERMS,cafe
FNB_TERMS,café
FNB_TERMS,coffee
FNB_TERMS,bar
FNB_TERMS,dining
FNB_TERMS,bistro
FNB_TERMS,hospitality
FNB_TERMS,front of house
FNB_TERMS,back of house
FNB_TERMS,kitchen
FNB_TERMS,bakery
FNB_TERMS,pastry
FNB_TERMS,host
FNB_TERMS,hostess
FNB_TERMS,guest relations
FNB_TERMS,banquet
RETAIL_TERMS,retail
RETAIL_TERMS,store
RETAIL_TERMS,shop
RETAIL_TERMS,outlet
RETAIL_TERMS,boutique
RETAIL_TERMS,showroom
RETAIL_TERMS,sales floor
RETAIL_TERMS,cashier
RETAIL_TERMS,merchandiser
RETAIL_TERMS,visual merchandising
RETAIL_TERMS,point of sale
WAITER_TERMS,waiter
WAITER_TERMS,waitress
WAITER_TERMS,server
WAITER_TERMS,service crew
WAITER_TERMS,guest experience
WAITER_TERMS,guest service
WAITER_TERMS,crew member
WAITER_TERMS,food server
WAITER_TERMS,host
WAITER_TERMS,hostess
WAITER_TERMS,floor staff
BAKER_TERMS,baker
BAKER_TERMS,bakery assistant
BAKER_TERMS,cake decorator
BAKER_TERMS,cake deco
BAKER_TERMS,pastry chef
BAKER_TERMS,pastry cook
BAKER_TERMS,pastry assistant
BAKER_TERMS,bread maker
SUPERVISOR_TERMS,supervisor
SUPERVISOR_TERMS,senior supervisor
SUPERVISOR_TERMS,store supervisor
SUPERVISOR_TERMS,shop supervisor
SUPERVISOR_TERMS,retail supervisor
SUPERVISOR_TERMS,floor supervisor
SUPERVISOR_TERMS,outlet supervisor
SALES_ASSISTANT_TERMS,sales assistant
SALES_ASSISTANT_TERMS,shop assistant
SALES_ASSISTANT_TERMS,store assistant
SALES_ASSISTANT_TERMS,retail assistant
SALES_ASSISTANT_TERMS,sales associate
SALES_ASSISTANT_TERMS,store associate
SALES_ASSISTANT_TERMS,shop assisitant
SALES_ASSISTANT_TERMS,store assisitant
SALES_ASSISTANT_TERMS,sales assisitant
SALES_ASSISTANT_TERMS,sales advisor
SALES_ASSISTANT_TERMS,retail sales assistant
